,country/region,confirmed,deaths,recovered,active,death_rate_(%),recovery_rate_(%),deaths_/_100_recovered,confirmed_last_week,1_week_change,1_week_%_increase,who_region,mortality_rate
86,Jamaica,853,10.0,714,129,1.17,83.7,1.4,809,44,5.44,Americas,1.1723329425556859
87,Japan,31142,998.0,21970,8174,3.2,70.55,4.54,25706,5436,21.15,Western Pacific,3.2046753580373775
88,Jordan,1176,11.0,1041,124,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean,0.935374149659864
89,Kazakhstan,84648,585.0,54404,29659,0.69,64.27,1.08,73468,11180,15.22,Europe,0.6910972497873547
90,Kenya,17975,285.0,7833,9857,1.59,43.58,3.64,13771,4204,30.53,Africa,1.5855354659248957
91,Kosovo,7413,185.0,4027,3201,2.5,54.32,4.59,5877,1536,26.14,Europe,2.495615810063402
92,Kuwait,64379,438.0,55057,8884,0.68,85.52,0.8,59763,4616,7.72,Eastern Mediterranean,0.680346075583653
93,Kyrgyzstan,33296,1301.0,21205,10790,3.91,63.69,6.14,27143,6153,22.67,Europe,3.9073762614127823
95,Latvia,1219,31.0,1045,143,2.54,85.73,2.97,1192,27,2.27,Europe,2.543068088597211
96,Lebanon,3882,51.0,1709,2122,1.31,44.02,2.98,2905,977,33.63,Eastern Mediterranean,1.313755795981453
97,Lesotho,505,12.0,128,365,2.38,25.35,9.38,359,146,40.67,Africa,2.376237623762376
98,Liberia,1167,72.0,646,449,6.17,55.36,11.15,1107,60,5.42,Africa,6.169665809768637
